datetime,training_steps,game_length,game_result,black_elo_rating,white_elo_rating
2023-05-25 03:19:35,172000,37,B+1.0,1782.8255105991825,1751.5618173927044
2023-05-25 03:22:52,173000,43,B+1.0,1798.8255105991825,1767.5618173927044
2023-05-25 03:26:42,174000,25,B+1.0,1814.8255105991825,1783.5618173927044
2023-05-25 03:30:44,175000,25,B+1.0,1830.8255105991825,1799.5618173927044
2023-05-25 03:34:00,176000,45,B+1.0,1846.8255105991825,1815.5618173927044
2023-05-25 03:37:43,177000,25,B+1.0,1862.8255105991825,1831.5618173927044
2023-05-25 03:41:38,178000,23,B+1.0,1878.8255105991825,1847.5618173927044
2023-05-25 03:45:35,179000,37,B+1.0,1894.8255105991825,1863.5618173927044
2023-05-25 03:48:45,180000,23,B+1.0,1910.8255105991825,1879.5618173927044
2023-05-25 03:52:35,181000,15,B+1.0,1926.8255105991825,1895.5618173927044
2023-05-25 03:56:32,182000,29,B+1.0,1942.8255105991825,1911.5618173927044
2023-05-25 04:00:22,183000,39,B+1.0,1958.8255105991825,1927.5618173927044
2023-05-25 04:03:47,184000,27,B+1.0,1974.8255105991825,1943.5618173927044
2023-05-25 04:07:34,185000,25,B+1.0,1990.8255105991825,1959.5618173927044
2023-05-25 04:11:20,186000,25,B+1.0,2006.8255105991825,1975.5618173927044
2023-05-25 04:15:06,187000,23,B+1.0,2022.8255105991825,1991.5618173927044
2023-05-25 04:18:52,188000,29,B+1.0,2038.8255105991825,2007.5618173927044
2023-05-25 04:22:07,189000,21,B+1.0,2054.825510599182,2023.5618173927044
2023-05-25 04:25:56,190000,25,B+1.0,2070.825510599182,2039.561817392704
2023-05-25 04:29:44,191000,33,B+1.0,2086.825510599182,2055.561817392704
2023-05-25 04:33:32,192000,25,B+1.0,2102.825510599182,2075.377740694324
2023-05-25 04:37:23,193000,27,B+1.0,2114.825510599182,2091.239811185559
2023-05-25 04:40:41,194000,21,B+1.0,2126.825510599182,2103.239811185559
2023-05-25 04:44:27,195000,25,B+1.0,2138.825510599182,2115.239811185559
2023-05-25 04:48:12,196000,25,B+1.0,2150.825510599182,2127.239811185559
2023-05-25 04:51:59,197000,21,B+1.0,2162.825510599182,2139.239811185559
2023-05-25 04:55:44,198000,25,B+1.0,2174.825510599182,2151.239811185559
2023-05-25 04:59:35,199000,29,B+1.0,2186.825510599182,2163.239811185559
2023-05-25 05:02:49,200000,21,B+1.0,2198.825510599182,2175.239811185559
2023-05-25 05:06:34,201000,21,B+1.0,2210.825510599182,2187.239811185559
2023-05-25 05:10:19,202000,21,B+1.0,2222.825510599182,2199.239811185559
2023-05-25 05:14:04,203000,21,B+1.0,2234.825510599182,2211.239811185559
2023-05-25 05:17:49,204000,21,B+1.0,2246.825510599182,2223.239811185559
2023-05-25 05:21:33,205000,21,B+1.0,2258.825510599182,2235.239811185559
2023-05-25 05:25:18,206000,21,B+1.0,2270.825510599182,2247.239811185559
2023-05-25 05:29:03,207000,21,B+1.0,2282.825510599182,2259.239811185559
2023-05-25 05:32:47,208000,21,B+1.0,2294.825510599182,2271.239811185559
2023-05-25 05:36:37,209000,29,B+1.0,2306.825510599182,2283.239811185559
2023-05-25 05:39:54,210000,21,B+1.0,2318.825510599182,2295.239811185559
2023-05-25 05:43:39,211000,25,B+1.0,2330.825510599182,2307.239811185559
2023-05-25 05:47:23,212000,21,B+1.0,2342.825510599182,2319.239811185559
2023-05-25 05:51:08,213000,21,B+1.0,2354.825510599182,2331.239811185559
2023-05-25 05:54:53,214000,21,B+1.0,2366.825510599182,2343.239811185559
2023-05-25 05:58:38,215000,21,B+1.0,2378.825510599182,2355.239811185559
2023-05-25 06:02:22,216000,21,B+1.0,2390.825510599182,2367.239811185559
2023-05-25 06:05:37,217000,21,B+1.0,2402.825510599182,2375.3779113810183
2023-05-25 06:09:22,218000,21,B+1.0,2410.825510599182,2395.009684858667
2023-05-25 06:13:07,219000,21,B+1.0,2418.825510599182,2403.009684858667
