datetime,training_steps,policy_loss,value_loss,learning_rate,total_games,total_samples
2023-05-30 02:25:13,165600,1.0774669647216797,0.329247385263443,0.001,845000,56041455
2023-05-30 02:25:22,165800,1.1685585975646973,0.33776286244392395,0.001,845000,56041455
2023-05-30 02:25:32,166000,1.10147225856781,0.3815644383430481,0.001,845000,56041455
2023-05-30 02:36:10,166200,1.2151633501052856,0.3471777141094208,0.001,850000,56294321
2023-05-30 02:36:20,166400,1.1942098140716553,0.380989670753479,0.001,850000,56294321
2023-05-30 02:36:29,166600,1.0413966178894043,0.3731011748313904,0.001,850000,56294321
2023-05-30 02:36:39,166800,1.236011028289795,0.37612611055374146,0.001,850000,56294321
2023-05-30 02:36:49,167000,1.1523754596710205,0.3872300386428833,0.001,850000,56294321
2023-05-30 02:47:32,167200,1.1142046451568604,0.3373928964138031,0.001,855000,56548554
2023-05-30 02:47:41,167400,1.2326996326446533,0.3423529863357544,0.001,855000,56548554
2023-05-30 02:47:51,167600,0.9829797744750977,0.34160447120666504,0.001,855000,56548554
2023-05-30 02:48:01,167800,1.0303053855895996,0.374430388212204,0.001,855000,56548554
2023-05-30 02:48:10,168000,1.1034971475601196,0.3774069547653198,0.001,855000,56548554
2023-05-30 02:58:55,168200,1.042020559310913,0.36567097902297974,0.001,860000,56805663
2023-05-30 02:59:05,168400,1.117602825164795,0.38664117455482483,0.001,860000,56805663
2023-05-30 02:59:15,168600,1.1827425956726074,0.39040619134902954,0.001,860000,56805663
2023-05-30 02:59:24,168800,1.0537598133087158,0.42218726873397827,0.001,860000,56805663
2023-05-30 02:59:34,169000,1.1871416568756104,0.38433927297592163,0.001,860000,56805663
2023-05-30 03:10:04,169200,1.144110083580017,0.36536771059036255,0.001,865000,57056624
2023-05-30 03:10:13,169400,1.109370470046997,0.3744593858718872,0.001,865000,57056624
2023-05-30 03:10:21,169600,1.0567842721939087,0.3905925750732422,0.001,865000,57056624
2023-05-30 03:10:30,169800,1.1406452655792236,0.38351720571517944,0.001,865000,57056624
2023-05-30 03:10:40,170000,1.1401262283325195,0.3672915995121002,0.001,865000,57056624
2023-05-30 03:21:24,170200,1.1557892560958862,0.37434473633766174,0.001,870000,57311439
2023-05-30 03:21:34,170400,1.1401541233062744,0.347778856754303,0.001,870000,57311439
2023-05-30 03:21:43,170600,1.2191988229751587,0.3925163745880127,0.001,870000,57311439
2023-05-30 03:21:53,170800,1.1273986101150513,0.3619333505630493,0.001,870000,57311439
2023-05-30 03:22:03,171000,1.0256707668304443,0.3718216121196747,0.001,870000,57311439
2023-05-30 03:32:30,171200,1.1371277570724487,0.37090790271759033,0.001,875000,57562265
2023-05-30 03:32:39,171400,1.047114610671997,0.3358495831489563,0.001,875000,57562265
2023-05-30 03:32:49,171600,1.0775556564331055,0.38020116090774536,0.001,875000,57562265
2023-05-30 03:32:58,171800,1.1189076900482178,0.35012662410736084,0.001,875000,57562265
2023-05-30 03:33:08,172000,1.1989524364471436,0.3327758312225342,0.001,875000,57562265
2023-05-30 03:43:37,172200,1.0626804828643799,0.36840784549713135,0.001,880000,57814858
2023-05-30 03:43:47,172400,1.2257853746414185,0.3397228419780731,0.001,880000,57814858
2023-05-30 03:43:56,172600,1.1129720211029053,0.3668847680091858,0.001,880000,57814858
2023-05-30 03:44:06,172800,1.1563286781311035,0.3860015571117401,0.001,880000,57814858
2023-05-30 03:44:16,173000,1.0580681562423706,0.33581990003585815,0.001,880000,57814858
2023-05-30 03:55:05,173200,1.1641621589660645,0.39569640159606934,0.001,885000,58070857
2023-05-30 03:55:14,173400,1.0889763832092285,0.38452404737472534,0.001,885000,58070857
2023-05-30 03:55:24,173600,1.0274109840393066,0.3816259503364563,0.001,885000,58070857
2023-05-30 03:55:33,173800,1.1655945777893066,0.41352158784866333,0.001,885000,58070857
2023-05-30 03:55:41,174000,1.214708924293518,0.36252743005752563,0.001,885000,58070857
2023-05-30 04:06:17,174200,1.0629615783691406,0.3521021604537964,0.001,890000,58324728
2023-05-30 04:06:26,174400,1.1490249633789062,0.353060245513916,0.001,890000,58324728
2023-05-30 04:06:35,174600,1.0055211782455444,0.3453352451324463,0.001,890000,58324728
2023-05-30 04:06:45,174800,1.0384644269943237,0.36396268010139465,0.001,890000,58324728
2023-05-30 04:06:54,175000,1.1581015586853027,0.35509559512138367,0.001,890000,58324728
2023-05-30 04:17:31,175200,1.1063451766967773,0.42611175775527954,0.001,895000,58579768
2023-05-30 04:17:41,175400,1.0148414373397827,0.4239804744720459,0.001,895000,58579768
2023-05-30 04:17:50,175600,1.0465633869171143,0.34776026010513306,0.001,895000,58579768
2023-05-30 04:17:59,175800,1.044611930847168,0.3539884686470032,0.001,895000,58579768
2023-05-30 04:18:08,176000,1.1420650482177734,0.40902265906333923,0.001,895000,58579768
2023-05-30 04:28:37,176200,1.0217783451080322,0.3189734220504761,0.001,900000,58829709
2023-05-30 04:28:47,176400,1.095210075378418,0.3880331516265869,0.001,900000,58829709
2023-05-30 04:28:56,176600,1.0354084968566895,0.36560142040252686,0.001,900000,58829709
2023-05-30 04:29:06,176800,1.0288734436035156,0.38907700777053833,0.001,900000,58829709
2023-05-30 04:29:15,177000,1.1616566181182861,0.35742801427841187,0.001,900000,58829709
2023-05-30 04:40:06,177200,1.1205272674560547,0.38493216037750244,0.001,905000,59087670
2023-05-30 04:40:15,177400,1.179662823677063,0.37170398235321045,0.001,905000,59087670
2023-05-30 04:40:24,177600,1.186858892440796,0.3696333169937134,0.001,905000,59087670
2023-05-30 04:40:33,177800,1.0796451568603516,0.3799523115158081,0.001,905000,59087670
2023-05-30 04:40:42,178000,1.235891580581665,0.36066389083862305,0.001,905000,59087670
2023-05-30 04:51:13,178200,1.0719181299209595,0.3893136978149414,0.001,910000,59339780
2023-05-30 04:51:22,178400,1.271856427192688,0.3558346927165985,0.001,910000,59339780
2023-05-30 04:51:32,178600,1.1367238759994507,0.3395008444786072,0.001,910000,59339780
2023-05-30 04:51:41,178800,1.0640915632247925,0.3550184369087219,0.001,910000,59339780
2023-05-30 04:51:51,179000,1.186806559562683,0.3605004549026489,0.001,910000,59339780
2023-05-30 05:02:29,179200,1.1358035802841187,0.3688175678253174,0.001,915000,59594726
2023-05-30 05:02:38,179400,1.083882212638855,0.35473209619522095,0.001,915000,59594726
2023-05-30 05:02:47,179600,1.1834158897399902,0.40092915296554565,0.001,915000,59594726
2023-05-30 05:02:56,179800,1.0014653205871582,0.345952570438385,0.001,915000,59594726
2023-05-30 05:03:05,180000,1.1157571077346802,0.3724363446235657,0.001,915000,59594726
2023-05-30 05:13:31,180200,1.0328807830810547,0.35773012042045593,0.001,920000,59844686
2023-05-30 05:13:41,180400,1.0841021537780762,0.3742572069168091,0.001,920000,59844686
2023-05-30 05:13:51,180600,1.1193645000457764,0.3670366406440735,0.001,920000,59844686
2023-05-30 05:14:00,180800,1.2521953582763672,0.34183162450790405,0.001,920000,59844686
2023-05-30 05:14:10,181000,1.1090078353881836,0.3636356592178345,0.001,920000,59844686
2023-05-30 05:24:35,181200,1.2155104875564575,0.3969859480857849,0.001,925000,60096932
2023-05-30 05:24:45,181400,1.0345723628997803,0.34636157751083374,0.001,925000,60096932
2023-05-30 05:24:54,181600,1.0451401472091675,0.30643218755722046,0.001,925000,60096932
2023-05-30 05:25:04,181800,1.141761302947998,0.36313021183013916,0.001,925000,60096932
2023-05-30 05:25:13,182000,1.2091383934020996,0.38116955757141113,0.001,925000,60096932
2023-05-30 05:36:00,182200,1.1661479473114014,0.3777739703655243,0.001,930000,60354172
2023-05-30 05:36:10,182400,0.9990519285202026,0.30810707807540894,0.001,930000,60354172
